"State","County","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Alabama","Baldwin",2000,257,111,96,39,10,1,0,205,129,54,0,0,215,42,0
"Alabama","Clay",2000,271,155,101,14,1,0,0,177,90,46,0,0,188,83,0
"Alabama","Colbert",2000,106,38,66,2,0,0,0,124,80,58,0,0,0,106,0
"Alabama","DeKalb",2000,354,169,123,58,4,0,0,159,115,51,0,0,297,56,1
"Alabama","Elmore",2000,242,125,78,37,2,0,0,166,112,50,0,0,242,0,0
"Alabama","Escambia",2000,119,36,80,3,0,0,0,123,83,57,0,0,0,114,5
"Alabama","Etowah",2000,101,34,60,7,0,0,0,141,87,59,0,0,0,83,18
"Alabama","Houston",2000,102,45,56,1,0,0,0,120,79,54,0,0,0,94,8
"Alabama","Jefferson",2000,366,25,239,73,25,4,0,208,140,79,35,0,83,233,15
"Alabama","Lawrence",2000,272,136,106,29,1,0,0,172,101,51,0,0,209,63,0
"Alabama","Madison",2000,366,199,131,30,6,0,0,187,100,48,7,0,264,82,13
"Alabama","Marengo",2000,57,57,0,0,0,0,0,49,31,21,0,0,0,0,57
"Alabama","Mobile",2000,285,108,122,46,9,0,0,187,122,60,0,0,206,69,10
"Alabama","Montgomery",2000,281,117,116,43,5,0,0,195,115,54,0,0,196,84,1
"Alabama","Morgan",2000,222,80,94,41,7,0,0,187,121,63,0,0,154,54,14
"Alabama","Pike",2000,59,59,0,0,0,0,0,46,37,22,0,0,0,0,59
"Alabama","Russell",2000,118,34,77,7,0,0,0,144,92,61,0,0,0,107,11
"Alabama","Shelby",2000,284,126,105,38,13,2,0,214,122,57,0,19,183,79,3
"Alabama","Sumter",2000,273,170,83,20,0,0,0,147,93,44,0,0,186,87,0
"Alabama","Talladega",2000,113,36,72,5,0,0,0,136,91,59,0,0,0,103,10
"Alabama","Tuscaloosa",2000,107,42,61,4,0,0,0,126,84,56,0,0,0,105,2
"Alabama","Walker",2000,69,25,42,2,0,0,0,112,84,56,0,0,0,64,5
"Alaska","Anchorage ",2000,304,267,37,0,0,0,0,95,51,28,145,0,0,60,99
"Alaska","Denali ",2000,363,361,1,1,0,0,0,106,34,28,0,0,359,4,0
"Alaska","Fairbanks North Star ",2000,243,169,63,8,3,0,0,169,81,32,128,0,0,114,1
"Alaska","Juneau ",2000,126,108,17,1,0,0,0,107,60,18,0,0,0,124,2
"Alaska","Ketchikan Gateway ",2000,60,49,11,0,0,0,0,93,59,13,0,0,0,60,0
"Alaska","Matanuska-Susitna ",2000,122,104,17,1,0,0,0,115,58,17,0,0,0,111,11
"Arizona","Apache",2000,69,69,0,0,0,0,0,45,28,15,0,0,0,69,0
"Arizona","Cochise",2000,354,230,118,6,0,0,0,132,80,46,0,0,327,13,14
"Arizona","Coconino",2000,364,227,132,5,0,0,0,126,80,47,0,0,352,12,0
"Arizona","Gila",2000,151,116,35,0,0,0,0,84,68,32,0,0,0,124,27
"Arizona","Graham",2000,42,39,3,0,0,0,0,70,41,24,0,0,0,0,42
"Arizona","Maricopa",2000,366,21,178,148,19,0,0,174,136,97,1,118,193,33,21
"Arizona","Mohave",2000,62,54,8,0,0,0,0,65,51,31,0,0,0,2,60
"Arizona","Navajo",2000,120,120,0,0,0,0,0,37,25,12,0,0,0,84,36
"Arizona","Pima",2000,366,175,168,23,0,0,0,136,90,51,4,53,227,5,77
"Arizona","Pinal",2000,120,107,12,1,0,0,0,123,52,32,0,0,0,120,0
"Arizona","Santa Cruz",2000,60,32,26,2,0,0,0,106,82,50,0,0,0,40,20
"Arizona","Yavapai",2000,354,197,129,27,1,0,0,151,97,48,0,0,347,4,3
"Arizona","Yuma",2000,206,179,27,0,0,0,0,93,56,38,0,0,170,0,36
"Arkansas","Arkansas",2000,101,39,61,1,0,0,0,101,75,56,0,0,0,101,0
"Arkansas","Ashley",2000,90,24,65,1,0,0,0,108,82,56,0,0,0,90,0
"Arkansas","Clark",2000,347,265,57,25,0,0,0,147,90,39,0,0,347,0,0
"Arkansas","Craighead",2000,57,19,38,0,0,0,0,90,79,55,0,0,0,57,0
"Arkansas","Crittenden",2000,366,236,98,25,7,0,0,177,100,42,0,0,310,56,0
"Arkansas","Faulkner",2000,40,13,27,0,0,0,0,84,77,56,0,0,0,40,0
"Arkansas","Garland",2000,106,51,55,0,0,0,0,99,70,51,0,0,0,106,0
"Arkansas","Jefferson",2000,57,17,40,0,0,0,0,82,76,56,0,0,0,57,0
"Arkansas","Marion",2000,49,38,11,0,0,0,0,76,65,42,0,0,0,49,0
"Arkansas","Miller",2000,42,19,23,0,0,0,0,91,77,52,0,0,0,42,0
"Arkansas","Mississippi",2000,20,8,12,0,0,0,0,86,84,57,0,0,0,20,0
"Arkansas","Montgomery",2000,352,300,48,4,0,0,0,119,61,34,0,0,352,0,0
"Arkansas","Newton",2000,363,257,92,14,0,0,0,129,84,43,0,0,326,37,0
"Arkansas","Phillips",2000,112,46,66,0,0,0,0,99,76,54,0,0,0,112,0
"Arkansas","Polk",2000,125,60,65,0,0,0,0,85,69,51,0,0,0,125,0
"Arkansas","Pope",2000,114,44,69,1,0,0,0,105,73,55,0,0,0,114,0
"Arkansas","Pulaski",2000,366,104,221,27,14,0,0,200,105,62,1,2,130,232,1
"Arkansas","Sebastian",2000,115,50,65,0,0,0,0,91,69,52,0,0,0,115,0
"Arkansas","Union",2000,97,39,57,1,0,0,0,101,77,54,0,0,0,97,0
"Arkansas","Washington",2000,96,50,46,0,0,0,0,97,69,50,0,0,0,96,0
"Arkansas","White",2000,34,12,22,0,0,0,0,83,76,56,0,0,0,34,0
"California","Alameda",2000,366,293,59,11,2,1,0,209,70,39,2,129,182,53,0
"California","Amador",2000,366,238,83,34,11,0,0,192,112,44,15,0,351,0,0
"California","Butte",2000,361,226,88,40,7,0,0,174,108,44,16,41,260,25,19
"California","Calaveras",2000,364,245,71,34,14,0,0,200,115,38,29,0,311,23,1
"California","Colusa",2000,365,306,54,5,0,0,0,105,61,36,0,0,280,30,55
"California","Contra Costa",2000,366,251,92,22,1,0,0,172,89,43,0,41,215,109,1
"California","Del Norte",2000,134,133,1,0,0,0,0,53,29,14,0,0,0,87,47
"California","El Dorado",2000,366,184,107,44,29,2,0,208,136,50,0,22,330,14,0
"California","Fresno",2000,366,50,121,89,88,18,0,227,183,112,2,24,230,109,1
"California","Glenn",2000,366,284,76,6,0,0,0,126,67,40,0,0,328,0,38
"California","Humboldt",2000,77,63,14,0,0,0,0,76,60,28,0,0,0,57,20
"California","Imperial",2000,366,142,171,41,10,2,0,208,115,59,32,83,176,39,36
"California","Inyo",2000,366,184,123,32,4,2,21,10736,126,50,0,0,284,3,79
"California","Kern",2000,366,52,110,95,100,9,0,213,179,111,1,16,228,118,3
"California","Kings",2000,364,143,99,77,43,2,0,205,159,70,0,59,254,36,15
"California","Lake",2000,366,350,15,1,0,0,0,108,44,34,0,0,362,4,0
"California","Lassen",2000,33,26,7,0,0,0,0,63,54,28,0,0,0,0,33
"California","Los Angeles",2000,366,27,164,114,51,10,0,243,159,99,7,96,128,133,2
"California","Madera",2000,362,217,98,40,7,0,0,177,108,45,0,72,290,0,0
"California","Marin",2000,366,359,7,0,0,0,0,61,39,28,6,198,126,30,6
"California","Mariposa",2000,362,199,93,58,12,0,0,187,126,48,0,0,358,1,3
"California","Mendocino",2000,366,356,10,0,0,0,0,72,39,30,10,76,250,20,10
"California","Merced",2000,363,157,99,68,36,3,0,207,151,58,0,15,308,36,4
"California","Modoc",2000,74,62,10,2,0,0,0,107,59,25,0,0,0,46,28
"California","Mono",2000,349,327,13,1,0,1,7,10362,31,11,77,0,0,13,259
"California","Monterey",2000,366,339,24,3,0,0,0,129,47,36,0,17,326,15,8
"California","Napa",2000,366,357,9,0,0,0,0,77,41,31,9,112,240,0,5
"California","Nevada",2000,366,162,116,63,22,3,0,208,136,57,0,0,327,31,8
"California","Orange",2000,366,110,200,36,19,1,0,205,127,62,2,74,97,191,2
"California","Placer",2000,366,217,89,41,18,1,0,202,126,46,0,113,234,16,3
"California","Plumas",2000,365,280,77,8,0,0,0,127,70,41,0,0,305,36,24
"California","Riverside",2000,366,52,125,101,76,12,0,222,172,103,1,42,186,124,13
"California","Sacramento",2000,366,166,128,42,29,1,0,203,143,55,8,21,214,121,2
"California","San Benito",2000,364,276,66,22,0,0,0,147,87,40,0,0,360,3,1
"California","San Bernardino",2000,366,49,150,75,74,18,0,246,179,95,0,94,208,57,7
"California","San Diego",2000,366,73,196,81,15,1,0,201,133,74,0,49,207,110,0
"California","San Francisco",2000,366,277,83,6,0,0,0,132,66,36,0,125,108,133,0
"California","San Joaquin",2000,366,228,104,27,7,0,0,172,97,45,11,95,193,59,8
"California","San Luis Obispo",2000,366,282,79,5,0,0,0,143,77,41,0,52,284,18,12
"California","San Mateo",2000,366,334,27,5,0,0,0,129,48,33,5,180,119,60,2
"California","Santa Barbara",2000,366,211,117,36,2,0,0,154,101,48,0,27,314,21,4
"California","Santa Clara",2000,366,228,104,26,8,0,0,190,97,44,0,90,123,153,0
